tempo,regiao,entidade,localizacao_geografica,modalidade_de_vinculacao,no_trabalhadores,ano,mes
2020-06-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",CT em Funções Públicas p/ Tempo Indeterminado,810.0,2020,6
2020-06-01,Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Algarve,Centro Hospitalar Universitário do Algarve,"37.0238973, -7.9281554",Comissão de Serviço no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Algarve,Centro Hospitalar Universitário do Algarve,"37.0238973, -7.9281554",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Centro,Administração Regional de Saúde do Centro,"40.203782, -8.419176",CT em Funções Públicas a Termo Resolutivo Incerto,439.0,2020,6
2020-06-01,Centro,Administração Regional de Saúde do Centro,"40.203782, -8.419176",Comissão de Serviço no âmbito do LTFP,24.0,2020,6
2020-06-01,Centro,Administração Regional de Saúde do Centro,"40.203782, -8.419176",Comissão de Serviço no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Centro,Administração Regional de Saúde do Centro,"40.203782, -8.419176",CTR certo no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",P. Serviços (Avenças),1.0,2020,6
2020-06-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",CT em Funções Públicas a Termo Resolutivo Incerto,89.0,2020,6
2020-06-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",CTR certo no âmbito do Código Trabalho,31.0,2020,6
2020-06-01,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",Comissão de Serviço no âmbito do LTFP,3.0,2020,6
2020-06-01,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,1052.0,2020,6
2020-06-01,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",CTR certo no âmbito do Código Trabalho,24.0,2020,6
2020-06-01,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",Cargo Político / Mandato,3.0,2020,6
2020-06-01,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",Comissão de Serviço no âmbito do Código Trabalho,2.0,2020,6
2020-06-01,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,3145.0,2020,6
2020-06-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"38.7313954, -9.1447467",Cargo Político / Mandato,2.0,2020,6
2020-06-01,Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",CT em Funções Públicas p/ Tempo Indeterminado,110.0,2020,6
