tempo,regiao,entidade,localizacao_geografica,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,ano,mes
2023-12-01,Norte,ACES Tâmega I - Baixo Tâmega,"41.271319448, -8.0787110652",76.96695,123749,91.37092,146908,2023,12
2023-12-01,Norte,ACES Grande Porto VIII - Espinho / Gaia,"41.002755547, -8.6377298499",72.70528,133721,88.76861,163265,2023,12
2023-12-01,Norte,Área dos CSP da ULS Alto Minho,"41.696866, -8.832522",77.28762,193403,91.0709,227894,2023,12
2023-12-01,Norte,ACES Grande Porto I - Santo Tirso / Trofa,"41.346844614, -8.482973945",75.5397,87688,90.82373,105430,2023,12
2023-12-01,Norte,ACES Grande Porto V - Porto Ocidental,"41.160263, -8.681729",68.82293,125628,85.14611,155424,2023,12
2023-12-01,Norte,Área dos CSP da ULS Póvoa Varzim / Vila Conde,"41.355472362, -8.7448970377",73.00374,114529,89.73936,140784,2023,12
2024-01-01,Algarve,Área dos CSP da ULS Algarve,"37.02745056, -7.937649",17.84171,94320,71.49716,377969,2024,1
2024-01-01,Centro,Área dos CSP da ULS Viseu Dão-Lafões,"40.659169, -7.915314",24.99262,68623,83.41461,229034,2024,1
2024-01-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.531, -8.8874",18.37122,45430,74.02836,183064,2024,1
2024-01-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Loures / Odivelas,"38.821769, -9.176301",15.4114,37223,65.27746,157664,2024,1
2024-01-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Amadora / Sintra,"38.75717, -9.23401",15.98699,89417,68.68254,384149,2024,1
2024-01-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lezíria,"39.237167, -8.688705",22.08903,44945,81.10747,165031,2024,1
2024-01-01,Norte,Área dos CSP da ULS Matosinhos,"41.1807, -8.66314",25.37736,44856,83.57001,147715,2024,1
2024-01-01,Norte,Área dos CSP da ULS Trás-os-Montes Alto Douro,"41.2969, -7.74841",25.10077,65635,86.76182,226870,2024,1
2024-01-01,Norte,Área dos CSP da ULS Gaia / Espinho,"41.127363348, -8.5796956622",23.48821,81894,84.44272,294418,2024,1
2024-02-01,Alentejo,Área dos CSP da ULS Litoral Alentejano,"38.039936, -8.731693",28.45578,29174,72.97511,74817,2024,2
2024-02-01,Alentejo,Área dos CSP da ULS Baixo Alentejo,"38.014, -7.8675",37.83484,45776,84.80854,102609,2024,2
2024-02-01,Alentejo,Área dos CSP da ULS Alto Alentejo,"38.756986, -9.1460619",38.24103,41968,84.25637,92468,2024,2
2024-02-01,Centro,Área dos CSP da ULS Baixo Mondego,"40.130297609, -8.860696177",37.85408,40946,82.0936,88799,2024,2
2024-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lisboa Ocidental,"38.698818794, -9.3815130504",26.66056,126234,69.62043,329643,2024,2
2024-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.531, -8.8874",29.09439,69972,75.55634,181713,2024,2
2024-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.6527214050293, -9.05825614929199",27.01723,61937,71.89531,164820,2024,2
2024-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Loures / Odivelas,"38.821769, -9.176301",25.59093,59384,67.73985,157191,2024,2
2024-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lezíria,"39.232503, -8.715083",35.10418,69785,82.4879,163981,2024,2
2024-02-01,Norte,Área dos CSP da ULS Matosinhos,"41.1807, -8.66314",38.19605,67421,84.17,148571,2024,2
2024-02-01,Norte,Área dos CSP da ULS Trás-os-Montes Alto Douro,"41.2969, -7.74841",39.20356,102375,87.2676,227888,2024,2
2024-03-01,Algarve,Área dos CSP da ULS Algarve,"37.02745056, -7.937649",36.1413,186312,73.80963,380496,2024,3
2024-03-01,Centro,Área dos CSP da ULS Guarda,"40.5314, -7.27322",46.45896,65135,86.71531,121574,2024,3
2024-03-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.891077, -9.039536",32.98266,76938,72.66963,169515,2024,3
2024-03-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Loures / Odivelas,"38.821769, -9.176301",32.43549,74287,68.74383,157444,2024,3
