tempo,regiao,entidade,localizacao_geografica,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,ano,mes
2015-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-10028521.3,69203662.59,57372232.55,-11864226.5,-11831430.04,2015,2
2015-02-01,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E","37.0238973, -7.9281554",1717290.16,28166912.34,29015023.74,1928304.4,848111.4,2015,2
2015-02-01,Norte,"Hospital da Senhora da Oliveira Guimarães, EPE","41.4387173, -8.3086907",-1138053.9,13564715.99,12142500.31,-1330344.24,-1422215.68,2015,2
2015-02-01,Norte,"Hospital Distrital S.Maria Maior, EPE - Barcelos","41.5324234, -8.6171561",-164265.09,3708487.61,3488013.8000000003,-217468.61,-220473.81,2015,2
2015-02-01,Centro,Hospital Dr. Francisco Zagalo - Ovar,"40.8571967, -8.6318023",126915.66,917518.81,1044434.47,105448.45,126915.66,2015,2
2015-02-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",312613.38999999996,12326821.09,12192042.11,288638.13,-134778.97999999998,2015,2
2015-02-01,Centro,"Instituto Português de Oncologia de Coimbra, EPE","40.2162514, -8.4103814",456687.03,7964388.14,7869353.3,190619.06,-95034.84,2015,2
2015-03-01,Norte,"Centro Hospitalar de Entre o Douro e Vouga, EPE","40.9293884, -8.5458794",-57092.07,20569157.41,19646045.38,-784453.87,-923112.03,2015,3
2015-03-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",796609.62,20953118.610000003,20936991.19,94275.01,-16127.42,2015,3
2015-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",-2449998.8600000003,24841563.79,21589471.8,-3829288.94,-3252091.99,2015,3
2015-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar Psiquiátrico de Lisboa, SPA","38.7569771, -9.1460705",-151759.25,6419452.31,5196755.75,-1032149.51,-1222696.56,2015,3
2015-03-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",-1725288.01,28459602.51,25055484.12,-2740424.14,-3404118.39,2015,3
2015-03-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",-6481115.2700000005,85910377.45,77198639.25999999,-8124260.140000001,-8711738.19,2015,3
2015-03-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",95672.73,966799.34,1062472.07,72681.62,95672.73,2015,3
2015-03-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",-573025.94,16392888.96,15455697.08,-584279.17,-937191.88,2015,3
2015-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, SPA","39.4054629, -9.1258493",4751206.17,18282168.45,23033374.619999997,4980475.13,4751206.17,2015,4
2015-04-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE","41.3828711, -8.7589945",-1421624.01,8741609.23,7156738.41,-1510007.57,-1584870.82,2015,4
2015-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-17076100.740000002,140900485.82,120737263.12,-20102090.520000003,-20163222.7,2015,4
2015-04-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",-10697006.78,117380602.65,103714742.88,-12861418.92,-13665859.77,2015,4
2015-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, EPE","38.7500861, -9.1616116",-32926328.500000004,142948206.67000002,106258011.53,-36698816.56,-36690195.14,2015,4
2015-04-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",-31569.47,1343601.13,1312031.66,-64472.719999999994,-31569.47,2015,4
2015-04-01,Norte,"Hospital da Senhora da Oliveira Guimarães, EPE","41.4387173, -8.3086907",-2123117.99,28212126.799999997,25487638.13,-2557389.1199999996,-2724488.6700000004,2015,4
2015-04-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",233341.65,9177470.22,9319689.46,150499.87,142219.24000000002,2015,4
2015-04-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-4417958.45,26843132.54,21687047.78,-5320003.08,-5156084.76,2015,4
2015-04-01,Centro,Hospital Dr. Francisco Zagalo - Ovar,"40.8571967, -8.6318023",-168859.54,2263597.04,2094737.5,-193093.63,-168859.54,2015,4
2015-04-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE - Almada","38.6658713, -9.1822554",2816459.5300000003,46554987.35,48417271.14,1686772.63,1862283.79,2015,4
2015-04-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",-1094102.4,25792969.0,24130437.64,-1704770.86,-1662531.36,2015,4
2015-04-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",-306371.14,26791059.9,25894128.35,-896330.5299999999,-896931.55,2015,4
2015-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar Psiquiátrico de Lisboa, SPA","38.7569771, -9.1460705",-48127.54,10682024.18,8839027.99,-1650860.28,-1842996.19,2015,5
2015-05-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",-6425848.9799999995,24686124.479999997,17815629.3,-6777540.65,-6870495.18,2015,5
2015-05-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",-15546996.67,148571561.6,129448427.53,-17670003.64,-19123134.07,2015,5
2015-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, EPE","38.7500861, -9.1616116",-37193419.88,173776487.32,131884159.43999998,-42156182.19,-41892327.879999995,2015,5
2015-05-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",341625.89,11491706.8,11719627.9,239424.93,227921.1,2015,5
2015-05-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-4888240.63,34062717.660000004,28251819.12,-5972022.640000001,-5810898.54,2015,5
2015-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE","38.708454, -9.216985",-5817959.6899999995,105278615.95,96239933.88,-9788398.8,-9038682.07,2015,6
2015-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",557857.87,48277551.15,47234223.82,-4156226.53,-1043327.33,2015,6
2015-06-01,Norte,"Centro Hospitalar do Alto Ave, EPE","41.4387173, -8.3086907",0.0,0.0,0.0,0.0,0.0,2015,6
2015-06-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",-24107547.99,219460230.78,192198184.29,-27109644.17,-27262046.49,2015,6
